Заказы,Выручка,Цена,Скидка,Рейтинг,Наличие (%),Рейтинг продавца,Отзывы о бренде,Дней в акциях,Средняя видимость,Основной склад,Уровень лояльности,Доставка_ЮФО_(ч),Доставка_ПФО_(ч),Доставка_УФО_(ч),Доставка_ДФО_(ч),Доставка_СФО_(ч),Доставка_СЗФО_(ч),Доставка_ЦФО_(ч),Ср время доставки (ч),Количество показов,Участвует в акциях,Количество отзывов
6529,5226325,811.93,33.6,4.8,96.7741935483871,4.53,329717950,29,2,Сарапул,Серебряный,65,21,38,164,18,35,20,51,2178536.0,1,11605.0
112,125391,1112.97,35.93,4.9,96.7741935483871,4.923333333333333,543068,30,2,Невинномысск,Начальный,66,21,38,164,18,36,21,52,79852.0,1,114.0
397,507497,1335.83,58.93,4.7,96.7741935483871,4.5633333333333335,264624,25,2,Невинномысск,Бронзовый,66,21,38,164,18,36,21,52,199784.0,1,238.0
3622,2644587,742.23,53.03,4.8,96.7741935483871,4.77,74286173,30,2,Новосибирск,Серебряный,65,21,38,164,18,35,20,51,79844.0,1,6887.0
182,471466,2805.17,90.07,4.0,96.7741935483871,4.63,4550475,21,1,Котовск,Бронзовый,65,21,38,164,18,35,20,51,26530.0,1,8.0
293,685230,2594.57,76.13,5.0,96.7741935483871,4.5925,31763457,22,2,Котовск,Бронзовый,66,21,38,164,18,36,21,52,1783739.0,1,8.0
186,282154,1525.7,59.4,5.0,64.51612903225806,4.79,745730,14,2,Невинномысск,Начальный,65,21,38,164,18,35,20,51,23481.0,1,11.0
2,8014,4144.37,47.2,5.0,96.7741935483871,4.695,64148,29,2,Коледино,Нет данных,66,31,55,178,77,36,21,66,3269.0,1,3.0
877,3271072,3744.73,32.13,4.8,96.7741935483871,4.81,179658,29,2,Владимир,Серебряный,65,21,38,164,18,35,20,51,141632.0,1,2259.0
1598,4820059,3000.0,51.67,4.7,96.7741935483871,4.705,1253338,29,2,Электросталь,Серебряный,65,21,38,164,18,35,20,51,757181.0,1,3775.0
284,1951067,6839.27,48.33,4.7,96.7741935483871,3.59,2115,21,2,FBS,Серебряный,65,21,38,169,65,35,20,59,1618.0,1,18.0
415,604694,1500.17,58.27,4.5,96.7741935483871,4.74,44416361,29,2,Новосибирск,Бронзовый,66,21,38,164,18,36,21,52,65979.0,1,284.0
100,152018,1635.2,56.9,4.9,96.7741935483871,4.73,496130,17,1,Тула,Начальный,66,21,38,169,65,36,21,59,802411.0,1,13.0
610,2367396,3989.33,68.13,5.0,48.38709677419355,4.81,43689,3,2,Котовск,Серебряный,66,21,38,164,18,36,21,52,226266.0,1,12.0
199,258155,1425.57,71.4,4.6,96.7741935483871,4.79,39831152,28,0,Тула,Начальный,65,21,38,169,65,35,20,59,170040.0,1,32.0
133,243599,1857.0,57.63,4.8,96.7741935483871,4.92,29275097,29,1,Коледино,Начальный,66,21,38,164,18,36,21,52,23186.0,1,367.0
90,227983,2655.9,26.8,0.0,96.7741935483871,4.92,29275097,12,2,Коледино,Начальный,66,21,38,169,65,36,21,59,75976.0,1,0.0
168,259035,1538.1,54.03,4.8,96.7741935483871,4.74,44416361,28,2,Белая дача,Начальный,66,21,38,169,65,36,21,59,57009.0,1,20.0
258,317722,1226.33,47.67,4.9,96.7741935483871,4.786666666666667,46200650,29,1,Невинномысск,Начальный,66,21,38,164,18,36,21,52,42748.0,1,96.0
819,3413272,4240.27,61.2,4.5,96.7741935483871,4.2675,2243859,30,1,Коледино,Серебряный,66,21,38,164,18,36,21,52,4105.0,1,840.0
39,89031,2390.67,40.17,4.9,38.70967741935484,4.7316666666666665,6573350,4,2,Котовск,Начальный,67,31,55,180,77,40,25,67,48038.0,1,8.0
474,613522,1294.47,41.33,5.0,96.7741935483871,4.775,10500534,28,2,Санкт-Петербург (Уткина Заводь),Бронзовый,66,21,38,164,18,36,21,52,368242.0,1,68.0
145,771453,5282.13,26.0,4.6,96.7741935483871,4.6,2667983,22,2,Подольск,Бронзовый,65,21,38,164,18,35,20,51,135.0,1,1051.0
20,40128,2038.07,31.1,5.0,96.7741935483871,4.78,1964310,9,2,Новосемейкино,Нет данных,66,31,55,178,77,36,21,66,1518.0,1,1.0
589,1816369,3245.0,62.77,4.8,96.7741935483871,4.539937888198758,201006839,23,2,Коледино,Бронзовый,66,21,38,169,65,36,21,59,130153.0,1,23.0
7,18306,2664.0,33.47,0.0,48.38709677419355,4.92,29275097,0,2,Электросталь,Нет данных,67,21,38,169,65,40,25,60,2334.0,0,0.0
219,549190,2817.5,90.27,4.5,96.7741935483871,4.63,4550475,21,2,Котовск,Бронзовый,66,21,38,164,18,36,21,52,26185.0,1,2.0
34,64794,1939.07,77.1,4.3,96.7741935483871,0.0,0,29,2,Коледино,Начальный,66,21,38,169,65,36,21,59,2384.0,1,12.0
177,437688,2478.17,19.43,4.9,96.7741935483871,4.92,29275097,29,2,Подольск,Бронзовый,65,21,38,164,18,35,20,51,85803.0,1,1830.0
9356,18238163,1981.67,48.07,4.8,96.7741935483871,4.81,1483472,22,1,Санкт-Петербург (Уткина Заводь),Золотой,65,21,38,164,18,35,20,51,2200392.0,1,17195.0
0,0,5833.9,23.73,0.0,96.7741935483871,0.0,0,30,1,FBS,Нет данных,65,21,38,169,65,35,20,59,169.0,1,0.0
61,69604,1152.33,52.03,4.9,96.7741935483871,4.87,30275953,29,2,Котовск,Начальный,66,21,38,169,65,36,21,59,91605.0,1,833.0
38,81266,2255.33,77.13,4.3,96.7741935483871,0.0,0,29,2,Коледино,Начальный,66,21,38,169,65,36,21,59,8492.0,1,3.0
404,970535,2410.87,55.93,4.8,96.7741935483871,4.69,379957,29,1,Коледино,Бронзовый,66,21,38,164,18,36,21,52,96564.0,1,346.0
2624,7523813,3093.3,71.57,4.7,96.7741935483871,4.5925,31763457,30,1,Владимир,Серебряный,65,21,38,164,18,35,20,51,2913936.0,1,4470.0
2473,3057970,1239.1,43.3,4.8,96.7741935483871,4.775,10500534,29,1,Новосибирск,Серебряный,65,21,38,164,18,35,20,51,1419734.0,1,654.0
586,423484,736.47,74.77,4.8,96.7741935483871,4.642,38368205,30,2,Подольск,Бронзовый,65,21,38,164,18,35,20,51,410774.0,1,571.0
305,1299476,4502.37,58.77,4.4,96.7741935483871,4.695,3949662,29,2,Подольск,Бронзовый,65,21,38,164,18,35,20,51,1332651.0,1,1428.0
142,750857,5300.6,25.77,4.7,96.7741935483871,4.6,2667983,23,2,Коледино,Бронзовый,66,21,38,164,18,36,21,52,153.0,1,2813.0
27498,12961838,470.3,68.37,4.8,96.7741935483871,4.8575,33743831,30,2,Сарапул,Золотой,65,21,38,164,18,35,20,51,406419.0,1,46066.0
349,1109579,3270.57,62.57,4.7,96.7741935483871,4.64,11588,29,1,Коледино,Бронзовый,66,21,38,164,18,36,21,52,19268.0,1,58.0
1343,3673852,2768.97,68.63,4.7,96.7741935483871,0.0,0,29,2,Коледино,Серебряный,66,21,38,164,18,36,21,52,1201309.0,1,682.0
1077,1215992,1148.1,29.57,4.9,96.7741935483871,4.72,3144759,30,1,Невинномысск,Бронзовый,65,21,38,164,18,35,20,51,736421.0,1,141.0
5,8792,1759.47,79.27,5.0,96.7741935483871,0.0,0,29,2,Электросталь,Нет данных,67,21,38,169,65,40,25,60,13835.0,1,2.0
2454,4424847,1797.73,75.17,4.7,96.7741935483871,4.614444444444445,6334072,29,2,Сарапул,Серебряный,65,21,38,164,18,35,20,51,2027985.0,1,5358.0
83,721700,9809.93,43.13,4.8,96.7741935483871,4.7,295546,21,1,FBS,Бронзовый,66,21,38,169,65,36,21,59,25213.0,1,44.0
927,1107667,1241.2,64.87,4.5,96.7741935483871,4.74,44416361,29,2,Новосибирск,Бронзовый,66,21,38,164,18,36,21,52,714543.0,1,271.0
311,715569,2437.53,72.0,4.8,96.7741935483871,4.7775,4746623,29,1,Коледино,Бронзовый,66,21,38,164,18,36,21,52,307446.0,1,70.0
165,534701,3259.03,65.33,4.6,96.7741935483871,4.497866666666667,3448806,29,2,Подольск,Бронзовый,65,21,38,169,65,35,20,59,12062.0,1,243.0
671,1544819,2688.1,76.03,5.0,96.7741935483871,0.0,0,12,2,Коледино,Бронзовый,66,21,38,164,18,36,21,52,480663.0,1,12.0
502,672051,1346.6,54.8,4.8,96.7741935483871,4.745,1522012,29,1,Белая дача,Бронзовый,66,21,38,164,18,36,21,52,271245.0,1,540.0
